Idea,Description,Impact,Feasibility
運動強度や景観によるサイクLingルート設定,"坂道の勾配、緑の多さ、水辺からの距離などを考慮し、ユーザーに最適なサイクリングルートを提案する",3,4
スターリンクトレイン・ISSの鑑賞場所設定,"人工衛星の軌道情報と、地上の標高・天気・夜間光データを組み合わせ、最も観測に適した場所と時間を ??する",4,3
家庭菜園支援,"日射量や地表面温度（LST）、地域の気候データから、特定の野菜を育てるのに最適な時期や場所をアドバイスする",2,4
道路陥没事前検知,"SAR衛星のデータを時系列で解析し、地表面の微小な変動を捉えて道路の陥没リスクがある場所を特定する（技術的難易度が非常に高い）",-2,-5
森林の樹種判定,"高解像度の光学衛星画像を使い、機械学習モデルで森林を構成する木々の種類を特定する（高解像度データの入手が課題）",1,-2
治安予測,"過去の犯罪発生データと、気温や夜間光、人口構成などのデータを組み合わせ、特定のエリアの犯罪リスクを予測する（データの相関関係の証明が難しい）",-1,-3
博物館・科学館の推薦システム,"衛星データを活用する必然性が低く、テーマとの関連付けが難しい",-3,1
救急車が到着時間が短い行動範囲推薦システム,"道路網データや施設情報が主となり、衛星データが活きる場面が限定的",-4,-1
最適な勉強場所検索,"衛星データ（夜間光など）も使えるが、主となるのは地上の混雑度データなどであり、テーマとしての新規性が低い",-1,2
快適な学習時間帯の提案,"気温や湿度などの地上データが主となり、衛星データを活用するメリットを出しにくい",-2,3
自然環境と勉強の集中力の関係,"植生指数と集中力の相関をまず分析する必要があり、アプリ開発以前の研究フェーズが長い",0,-1
衛星データによる地理・環境系の学習教材,"共通テストで頻出のテーマ（都市のヒートアイランド、植生の変化など）を、実際の衛星データを使ってインタラクティブに学べる教材",4,5
衛星データによる自由研究サポート教材,"「近所の公園の緑は増えている？」といった身近な疑問を、衛星データを使って調べる方法をガイドする自由研究テーマを提供",5,5
散歩や運動のタイミング推薦システム,"大気汚染状況（AOD）、花粉飛散リスク（植生分布から推定）、天気予報を統合し、快適に屋外活動できる時間帯を ??する",2,5
癒し画像お届け,"世界中の美しい海岸線やサンゴ礁、幾何学的な農地など、アート性の高い衛星画像をランダムで表示する",0,5
受験やイベントのための前乗り推薦システム,"衛星データの活用シーンが限定的で、テーマとの関連付けが難しい",-3,0
管楽器練習場所推薦システム,"衛星データ（土地被覆）で公園などを探せるが、主となるのは地上の騒音規制や施設情報",1,2
医学部×衛星データ,"感染症の拡大予測などテーマは面白いが、扱うデータが専門的すぎて個人開発の範疇を超える",-2,-4
災害時の支援ルート策定,"リアルタイムの被災状況データが必要となり、個人でのデータ入手がほぼ不可能",-1,-5
気候変動や森林破壊データによる感染症予測,"デング熱と森林伐採など、関連性の研究は多いが、因果関係のモデル化が非常に高度",2,-4
ラジオや航空無線受信地域を推薦,"送信所の位置と標高（DEM）データで電波が見通せる範囲を予測するニッチなテーマ",2,1
家計に優しい献立計画,"特定の野菜の作付面積や生育状況（植生指数）から収穫量を予測し、価格変動を推定する壮大なテーマ",1,-2
釣りスポット推薦システム,"海面水温やクロロフィル濃度は分かるが、「釣れる」という直接的な要因との結びつけが難しい",0,-1
生配信のタイミング推薦システム,"衛星データとの関連性が薄く、テーマとしての独自性を出しにくい",-3,2
「自分だけの富士山ビューポイント」発見器,"標高データ（DEM/DSM）を使い、指定した場所から富士山が見えるか（視線が通るか）を3Dでシミュレーションする",4,3
ペットの散歩コース快適度マップ,"夏の地表面温度（LST）を解析し、アスファルトの温度が低い日陰の多いルートや涼しい時間帯を提案する",5,4
都市のクールスポット探索,"公園の植生（NDVI）、水辺、建物の影（DSMから計算）を組み合わせ、都市内の涼しい避難場所をマッピングする",4,4
パーソナル紅葉前線トラッカー,"特定の山の植生指数の変化を時系列で追い、自分だけのお気に入りの場所の紅葉見頃をピンポイントで予測する",4,4
洗濯物カラッと予報,"衛星から得られる日射量データと、気象予報（風速、湿度）を組み合わせて、洗濯物が最も早く乾く時間帯を予測する",2,5
思い出の場所の衛星写真アート作成サービス,"ユーザーが指定した思い出の日付と場所の過去の衛星画像を検索し、ポスター風にデザインして表示する",3,2
ドローン絶景空撮スポット推薦,"土地利用データで飛行可能エリアを絞り込み、DEMと植生データで景観が良い場所を ??する",3,1
野鳥観察ポテンシャルマップ,"鳥の種類ごとに好む環境（森林、水辺、湿地など）を土地被覆データからマッピングし、バードウォッチングの穴場を探す",4,3
カブトムシポテンシャルマップ,"カブトムシが集まる広葉樹林（クヌギなど）の分布を土地被覆データから推定し、採集できそうな場所を予測する",5,3
蛍ポテンシャルマップ,"蛍が生息する条件（きれいな水辺、夜間光が少ない、湿地）が揃った場所を衛星データから探し出す",5,3
きのこ狩りポテンシャルマップ,"森林の樹種や湿度、地表面温度のデータから、きのこが発生しやすい環境を予測する（樹種判定がネック）",3,1
潮干狩り最適タイミング＆スポット推薦,"潮位データと衛星画像から分かる干潟の広がりを組み合わせ、アサリなどが採れやすい日時と場所を ??する",3,2
「ベビーカーでお散歩」快適ルートマップ,"標高データ（DEM）から坂道の勾配を計算し、急な坂を避けつつ緑の多い（NDVI）快適な散歩ルートを提案する",4,4
シーグラス発見ポテンシャルマップ,"海流のシミュレーションデータと海岸線の形状から、漂着物が溜まりやすいビーチを予測する（データ入手が課題）",2,0
化石発掘チャレンジマップ,"地質図データと標高データ（DEM）を重ね合わせ、化石が見つかりやすい地層が露出している崖などを探す",2,-1
セミの鳴き声マップ,"都市のヒートアイランド現象（LST）と公園の植生（NDVI）データから、セミが活発に鳴いていそうな場所を予測する",2,4
花火大会の穴場鑑賞スポット,"打ち上げ場所と鑑賞地点の間の障害物（建物など）をDSMデータで判定し、よく見える穴場スポットを探す",4,3
どんぐり拾いマップ,"土地被覆分類データから、どんぐりが採れる広葉樹林（ナラ・カシなど）が広がっている公園や緑地を探す",3,5
最強の「海の幸」ハンター支援,"海面水温やクロロフィル濃度（プランクトンの量）のデータから、魚が集まりやすい潮目などの漁場を予測する",2,0
太陽光パネル設置シミュレーター,"家屋の屋根の向きや傾斜をDSM/DEMから算出し、日射量データと合わせて最適な太陽光パネル設置場所と発電量をシミュレートする",4,2
「静かな夜」探索マップ,"夜間光データと主要道路網からの距離を解析し、都会の中でも比較的静かで星が見えやすい場所を探す",3,3
ラーメン屋新規開店！立地はどこがいい？,"夜間の人の集まり（夜間光）、交通の便、周辺の人口密度などを分析し、ビジネス的な立地選定を行う（衛星データの寄与は一部）",1,1
桜の開花状況リアルタイムマップ,"地表面温度の積算（開花の法則）と、光学衛星画像の色変化から、全国の桜の開花状況を推定する（精度が課題）",3,1
「あの雲、今どこ？」追跡システム,"気象衛星ひまわりの高頻度観測データを使い、面白い形の雲やゲリラ豪雨の雲塊をリアルタイムに追跡する",3,4
水田アート鑑賞支援,"光学衛星画像で全国の水田アートを自動で探し出し、その場所と見頃の時期をマップ上で共有する",2,4
最高のキャンプファイヤーができる場所探し,"夜間光が少なく星空が綺麗で、森林火災リスクが低く、風の影響を受けにくい場所を ??する",3,2
歴史探訪マップ,"昔の古地図と現代の衛星写真を重ねて表示し、失われた城跡や旧街道の痕跡などをブラウザ上で探索できるようにする",3,3
海面上昇実感シミュレーター,"標高データ（DEM）を使い、海面が1m、2mと上昇した場合に、自分の住む町がどこまで浸水するかを可視化する",4,5
あなたの町の「緑」増えた？減った？ウォッチ,"過去から現在までの衛星画像を解析し、市街地の緑被率（NDVI）の変化を時系列で可視化して、都市環境の変化を見る",4,5
「あの日の空を、もう一度」再現サービス,"ユーザーが指定した過去の日付の気象衛星データを3Dで雲の動きを再現し、思い出に浸れるエモーショナルな体験を提供する",5,1
「映え」気象現象ハンター,"天気予報、太陽の位置、地形（DEM）を組み合わせ、「天使の梯子」や「虹」など、写真映えする気象現象が発生しやすい場所と時間を予測する",5,2
リアルタイム災害脱出ゲーム,"ハザードマップや地形データをベースに、「巨大怪獣接近」などの架空の災害シナリオを設定し、避難ルートを探す防災教育ゲーム",1,-4
文学作品の舞台を巡る聖地巡礼マップ,"小説や詩に描かれた風景が、現代の日本のどの場所に近いかを、土地被覆や地形データから推定し、文学の聖地巡礼を支援する",2,0
あなたのパワースポット診断,"誕生日や季節から、その時期に最も植生活動が活発な森（NDVI）や日射量が心地よい海岸などを「占い」として ??する",3,4
日本一「静かな場所」を探せ,"夜間光、主要道路網、人口データを解析し、人工物が発する光や音が最も少ないであろう「無音の聖域」をランキング化する",3,3
衛星から見つける「トトロの森」,"土地被覆データから神社（鎮守の森）や里山の位置を特定し、その植生の豊かさから神秘的な雰囲気を持つ場所を探す",4,3
自分だけの家紋ジェネレーター,"自宅周辺の衛星画像（農地や道路のパターン）を自動で抽象化・デザイン化し、オリジナルの家紋やロゴマークを生成する",3,5
